t,v
2016-01-24T00:00:00Z,3820
2016-01-25T00:00:00Z,4035
2016-01-26T00:00:00Z,4326
2016-01-27T00:00:00Z,4051
2016-01-28T00:00:00Z,4459
2016-01-29T00:00:00Z,4313
2016-01-30T00:00:00Z,4335
2016-01-31T00:00:00Z,4390
2016-02-01T00:00:00Z,4194
2016-02-02T00:00:00Z,4161
2016-02-03T00:00:00Z,4325
2016-02-04T00:00:00Z,4077
2016-02-05T00:00:00Z,4697
2016-02-06T00:00:00Z,3836
2016-02-07T00:00:00Z,4053
2016-02-08T00:00:00Z,4492
2016-02-09T00:00:00Z,4755
2016-02-10T00:00:00Z,6029
2016-02-11T00:00:00Z,7678
2016-02-12T00:00:00Z,6480
2016-02-13T00:00:00Z,6064
2016-02-14T00:00:00Z,5542
2016-02-15T00:00:00Z,5680
2016-02-16T00:00:00Z,5680
2016-02-17T00:00:00Z,5726
2016-02-18T00:00:00Z,5531
2016-02-19T00:00:00Z,5524
2016-02-20T00:00:00Z,5224
2016-02-21T00:00:00Z,6281
2016-02-22T00:00:00Z,6000
2016-02-23T00:00:00Z,6043
2016-02-24T00:00:00Z,6031
2016-02-25T00:00:00Z,6599
2016-02-26T00:00:00Z,5922
2016-02-27T00:00:00Z,5917
2016-02-28T00:00:00Z,6495
2016-02-29T00:00:00Z,7113
2016-03-01T00:00:00Z,7653
2016-03-02T00:00:00Z,8541
2016-03-03T00:00:00Z,9058
2016-03-04T00:00:00Z,8973
2016-03-05T00:00:00Z,10056
2016-03-06T00:00:00Z,9723
2016-03-07T00:00:00Z,8041
2016-03-08T00:00:00Z,9468
2016-03-09T00:00:00Z,9247
2016-03-10T00:00:00Z,9809
2016-03-11T00:00:00Z,9475
2016-03-12T00:00:00Z,9979
2016-03-13T00:00:00Z,10160
2016-03-14T00:00:00Z,10419
2016-03-15T00:00:00Z,10362
2016-03-16T00:00:00Z,9643
2016-03-17T00:00:00Z,10279
2016-03-18T00:00:00Z,10754
2016-03-19T00:00:00Z,9578
2016-03-20T00:00:00Z,10071
2016-03-21T00:00:00Z,10316
2016-03-22T00:00:00Z,9765
2016-03-23T00:00:00Z,10090
2016-03-24T00:00:00Z,10061
2016-03-25T00:00:00Z,10022
2016-03-26T00:00:00Z,9844
