t,v
2009-05-10T00:00:00Z,4091591.14777248
2009-05-11T00:00:00Z,5982542.95438189
2009-05-12T00:00:00Z,6385984.10760239
2009-05-13T00:00:00Z,5546987.29267214
2009-05-14T00:00:00Z,6829809.22474288
2009-05-15T00:00:00Z,6796466.91166341
2009-05-16T00:00:00Z,5889415.07235288
2009-05-17T00:00:00Z,6246974.74222365
2009-05-18T00:00:00Z,5864115.0237547
2009-05-19T00:00:00Z,4250143.11224642
2009-05-20T00:00:00Z,5944317.1655287
2009-05-21T00:00:00Z,4112752.30661077
2009-05-22T00:00:00Z,5215451.78675797
2009-05-23T00:00:00Z,1111794.73601954
2009-05-24T00:00:00Z,4920568.35689572
2009-05-25T00:00:00Z,5452878.55270576
2009-05-26T00:00:00Z,6098380.3260067
2009-05-27T00:00:00Z,5966137.58184598
2009-05-28T00:00:00Z,4671382.37014139
2009-05-29T00:00:00Z,5298540.94219243
2009-05-30T00:00:00Z,5338100.74417332
2009-05-31T00:00:00Z,5826811.85404596
2009-06-01T00:00:00Z,3502149.66770411
2009-06-02T00:00:00Z,4688137.29686993
2009-06-03T00:00:00Z,4723911.79365792
2009-06-04T00:00:00Z,2614799.89240746
2009-06-05T00:00:00Z,5276588.67603096
2009-06-06T00:00:00Z,826721.783851786
2009-06-07T00:00:00Z,772085.576495702
2009-06-08T00:00:00Z,4059234.6680805
2009-06-09T00:00:00Z,4501595.47511604
2009-06-10T00:00:00Z,4068613.45939327
2009-06-11T00:00:00Z,4473086.60999813
2009-06-12T00:00:00Z,4247845.84327346
2009-06-13T00:00:00Z,3910760.17753289
2009-06-14T00:00:00Z,3514583.35108596
2009-06-15T00:00:00Z,4161453.98078321
2009-06-16T00:00:00Z,3595131.84253899
2009-06-17T00:00:00Z,3878318.10879331
2009-06-18T00:00:00Z,3965073.20531758
2009-06-19T00:00:00Z,4312464.99881127
2009-06-20T00:00:00Z,3968436.22317515
2009-06-21T00:00:00Z,3978413.29951398
2009-06-22T00:00:00Z,3748952.14710172
2009-06-23T00:00:00Z,3772217.38196274
2009-06-24T00:00:00Z,4628775.0640393
2009-06-25T00:00:00Z,3374089.07367229
2009-06-26T00:00:00Z,4432726.58784675
2009-06-27T00:00:00Z,4170979.95148965
2009-06-28T00:00:00Z,2276895.45603946
2009-06-29T00:00:00Z,4098722.4408214
2009-06-30T00:00:00Z,4241573.37237133
2009-07-01T00:00:00Z,3772523.73829646
2009-07-02T00:00:00Z,4046291.02471028
2009-07-03T00:00:00Z,4113568.93888993
2009-07-04T00:00:00Z,4384731.11730024
2009-07-05T00:00:00Z,3925793.61538373
2009-07-06T00:00:00Z,4235071.28778701
2009-07-07T00:00:00Z,3350057.01232167
2009-07-08T00:00:00Z,3673457.92769302
2009-07-09T00:00:00Z,4267969.90497319
2009-07-10T00:00:00Z,4079460.95728139
2009-07-11T00:00:00Z,4022412.50189565
2009-07-12T00:00:00Z,3887762.08537001
2009-07-13T00:00:00Z,3792766.15668871
2009-07-14T00:00:00Z,3401349.08897255
2009-07-15T00:00:00Z,2244261.17720828
2009-07-16T00:00:00Z,3506539.23480981
2009-07-17T00:00:00Z,3329651.68264441
2009-07-18T00:00:00Z,168153.131939551
2009-07-19T00:00:00Z,3091556.74893057
2009-07-20T00:00:00Z,3472524.63900022
2009-07-21T00:00:00Z,4029003.90413325
2009-07-22T00:00:00Z,3335033.48984082
2009-07-23T00:00:00Z,3377734.58159316
2009-07-24T00:00:00Z,3691050.72292334
2009-07-25T00:00:00Z,2449019.12815396
2009-07-26T00:00:00Z,760716.174385358
2009-07-27T00:00:00Z,3671845.2356108
2009-07-28T00:00:00Z,2087357.56781489
2009-07-29T00:00:00Z,1032026.23715095
2009-07-30T00:00:00Z,673494.981444118
2009-07-31T00:00:00Z,858115.153102119
2009-08-01T00:00:00Z,1423841.58709937
2009-08-02T00:00:00Z,1114304.94645294
2009-08-03T00:00:00Z,610984.619192698
2009-08-04T00:00:00Z,3865943.07055307
2009-08-05T00:00:00Z,4296992.31536701
2009-08-06T00:00:00Z,4422937.62460524
2009-08-07T00:00:00Z,3977005.69100421
2009-08-08T00:00:00Z,4000947.65518928
2009-08-09T00:00:00Z,4919109.79073539
2009-08-10T00:00:00Z,3737787.73729404
2009-08-11T00:00:00Z,3448190.28237183
2009-08-12T00:00:00Z,3159649.9135654
2009-08-13T00:00:00Z,4147935.19321009
2009-08-14T00:00:00Z,3160609.49700389
2009-08-15T00:00:00Z,1299264.08637781
2009-08-16T00:00:00Z,1190470.59905468
2009-08-17T00:00:00Z,750698.567086838
2009-08-18T00:00:00Z,454503.512878579
2009-08-19T00:00:00Z,887685.424762605
2009-08-20T00:00:00Z,1148847.74535241
2009-08-21T00:00:00Z,686112.669663844
2009-08-22T00:00:00Z,337741.904040801
2009-08-23T00:00:00Z,748130.494925332
2009-08-24T00:00:00Z,736987.615997072
2009-08-25T00:00:00Z,2880054.24601684
2009-08-26T00:00:00Z,2112798.53865705
2009-08-27T00:00:00Z,1456925.8937666
2009-08-28T00:00:00Z,3643714.1247667
2009-08-29T00:00:00Z,3866035.60237265
2009-08-30T00:00:00Z,4743766.75485921
2009-08-31T00:00:00Z,4235570.80310988
2009-09-01T00:00:00Z,4074574.60061543
2009-09-02T00:00:00Z,3136573.62695436
2009-09-03T00:00:00Z,2991914.82014914
2009-09-04T00:00:00Z,3190911.80980683
2009-09-05T00:00:00Z,3748134.23773654
2009-09-06T00:00:00Z,3444158.77883912
2009-09-07T00:00:00Z,3774731.82070986
2009-09-08T00:00:00Z,3450013.89333985
2009-09-09T00:00:00Z,2667037.33839307
2009-09-10T00:00:00Z,3290410.02609342
2009-09-11T00:00:00Z,3301092.19510852
2009-09-12T00:00:00Z,3434102.49978562
2009-09-13T00:00:00Z,3742956.12646843
2009-09-14T00:00:00Z,3703075.68513772
2009-09-15T00:00:00Z,2305291.31726359
2009-09-16T00:00:00Z,3365302.48462292
2009-09-17T00:00:00Z,4137828.3388462
2009-09-18T00:00:00Z,3822758.59060877
2009-09-19T00:00:00Z,3624610.31298041
2009-09-20T00:00:00Z,3884189.37133184
2009-09-21T00:00:00Z,3438086.51605044
2009-09-22T00:00:00Z,1322391.00459377
2009-09-23T00:00:00Z,1687554.68229593
2009-09-24T00:00:00Z,4722633.39657205
2009-09-25T00:00:00Z,4509698.31580648
2009-09-26T00:00:00Z,4897340.1322691
2009-09-27T00:00:00Z,4197838.00963904
2009-09-28T00:00:00Z,4168395.201699
2009-09-29T00:00:00Z,4277516.97108387
2009-09-30T00:00:00Z,3518429.2613724
2009-10-01T00:00:00Z,3579757.86743645
2009-10-02T00:00:00Z,3597334.26371811
2009-10-03T00:00:00Z,2878331.79081644
2009-10-04T00:00:00Z,2655265.62409453
2009-10-05T00:00:00Z,2672147.70344562
2009-10-06T00:00:00Z,2205414.23828232
2009-10-07T00:00:00Z,2922011.49492017
2009-10-08T00:00:00Z,3390521.47463151
2009-10-09T00:00:00Z,3596324.3811038
2009-10-10T00:00:00Z,2974220.33574056
2009-10-11T00:00:00Z,3667523.42377106
2009-10-12T00:00:00Z,2880595.10127431
2009-10-13T00:00:00Z,2824821.27585531
2009-10-14T00:00:00Z,3411293.86725603
2009-10-15T00:00:00Z,3543084.78297141
2009-10-16T00:00:00Z,3035956.24231286
2009-10-17T00:00:00Z,2775375.9352447
2009-10-18T00:00:00Z,3691848.89944128
2009-10-19T00:00:00Z,5547005.73284133
2009-10-20T00:00:00Z,4700983.84837836
2009-10-21T00:00:00Z,4004724.86165179
2009-10-22T00:00:00Z,4371665.74275342
2009-10-23T00:00:00Z,4430880.83162165
2009-10-24T00:00:00Z,3158888.37637904
2009-10-25T00:00:00Z,3709205.63732642
2009-10-26T00:00:00Z,3510778.13486225
2009-10-27T00:00:00Z,3198151.31000942
2009-10-28T00:00:00Z,3426007.27019579
2009-10-29T00:00:00Z,2166748.87166327
2009-10-30T00:00:00Z,3049211.81072734
2009-10-31T00:00:00Z,2248443.65607894
2009-11-01T00:00:00Z,1239643.28480552
2009-11-02T00:00:00Z,1660347.69654655
2009-11-03T00:00:00Z,3085608.02261877
